striker,player_name,batting_hand,total_runs,top_score,hundreds,fiftys,matches,average,total_balls,total_six,total_four,strike_rate
318,CJ McKay,Right-hand bat,8,8,0,0,1,8,15,0,0,53.33
319,N Saini,Right-hand bat,140,50,0,1,10,14,143,0,16,97.9
320,DA Miller,Left-hand bat,1563,101,1,8,64,24.42,1135,78,104,137.71
321,Azhar Mahmood,Right-hand bat,388,80,0,2,21,18.48,311,13,39,124.76
322,P Negi,Left-hand bat,353,36,0,0,29,12.17,284,16,26,124.3
323,RJ Peterson,Left-hand bat,32,16,0,0,5,6.4,32,1,3,100
324,KMDN Kulasekara,Right-hand bat,5,5,0,0,1,5,3,0,1,166.67
325,A Ashish Reddy,Right-hand bat,280,36,0,0,23,12.17,196,15,16,142.86
326,V Pratap Singh,Right-hand bat,0,0,0,0,1,0,1,0,0,0
327,BB Samantray,Right-hand bat,125,55,0,1,8,15.63,116,2,13,107.76
328,MJ Clarke,Right-hand bat,98,41,0,0,6,16.33,96,0,12,102.08
329,Gurkeerat Singh,Right-hand bat,342,51,0,1,24,14.25,280,9,36,122.14
330,AP Majumdar,Right-hand bat,87,31,0,0,4,21.75,77,2,7,112.99
331,PA Reddy,Right-hand bat,164,42,0,0,10,16.4,167,2,15,98.2
332,K Upadhyay,Right-hand bat,12,11,0,0,2,6,9,1,0,133.33
333,P Awana,Right-hand bat,5,4,0,0,5,1,14,0,0,35.71
334,AD Russell,Right-hand bat,574,66,0,3,25,22.96,350,37,48,164
335,A Chandila,Right-hand bat,4,4,0,0,2,2,7,0,0,57.14
336,CA Lynn,Right-hand bat,384,93,0,3,12,32,260,23,31,147.69
337,Sunny Gupta,Right-hand bat,0,0,0,0,1,0,1,0,0,0
338,MC Juneja,Right-hand bat,125,49,0,0,7,17.86,134,1,11,93.28
339,KK Nair,Right-hand bat,1158,83,0,8,50,23.16,929,26,135,124.65
340,GH Vihari,Right-hand bat,280,46,0,0,21,13.33,323,1,23,86.69
341,MDKJ Perera,Left-hand bat,14,14,0,0,2,7,13,0,3,107.69
342,R Shukla,Right-hand bat,19,14,0,0,4,4.75,23,0,2,82.61
343,B Laughlin,Right-hand bat,4,4,0,0,2,2,9,0,0,44.44
344,AS Rajpoot,Right-hand bat,6,4,0,0,2,3,13,0,1,46.15
345,M Vohra,Right-hand bat,957,95,0,3,41,23.34,750,35,95,127.6
346,JD Unadkat,Right-hand bat,5,2,0,0,5,1,13,0,0,38.46
347,Mohammed Shami,Right-hand bat,46,21,0,0,13,3.54,46,2,4,100
348,BMAJ Mendis,Left-hand bat,23,12,0,0,3,7.67,27,0,0,85.19
349,R Rampaul,Left-hand bat,51,23,0,0,7,7.29,52,2,3,98.08
350,CH Morris,Right-hand bat,439,82,0,2,28,15.68,275,23,33,159.64
351,SV Samson,Right-hand bat,1426,102,1,7,62,23,1165,57,112,122.4
352,SMSM Senanayake,Right-hand bat,10,7,0,0,4,2.5,17,0,0,58.82
353,BJ Rohrer,Left-hand bat,193,64,0,1,8,24.13,146,5,21,132.19
354,KL Rahul,Right-hand bat,725,68,0,4,30,24.17,592,24,61,122.47
355,Q de Kock,Left-hand bat,726,108,1,5,26,27.92,566,21,90,128.27
356,R Dhawan,Right-hand bat,153,25,0,0,16,9.56,135,4,13,113.33
357,MG Johnson,Left-hand bat,151,16,0,0,26,5.81,157,7,8,96.18
358,LJ Wright,Right-hand bat,106,44,0,0,5,21.2,63,3,16,168.25
359,IC Pandey,Right-hand bat,0,0,0,0,1,0,2,0,0,0
360,CM Gautam,Right-hand bat,169,33,0,0,13,13,158,6,17,106.96
361,X Thalaivan Sargunam,Right-hand bat,10,10,0,0,1,10,17,0,0,58.82
362,DJG Sammy,Right-hand bat,295,60,0,1,20,14.75,251,18,15,117.53
363,KW Richardson,Right-hand bat,36,26,0,0,4,9,39,1,2,92.31
364,MM Sharma,Right-hand bat,112,21,0,0,20,5.6,104,4,8,107.69
365,UA Birla,Right-hand bat,7,7,0,0,1,7,15,0,1,46.67
366,Parvez Rasool,Right-hand bat,17,10,0,0,4,4.25,20,0,1,85
367,Sandeep Sharma,Right-hand bat,26,7,0,0,11,2.36,36,0,1,72.22
368,S Kaul,Right-hand bat,9,7,0,0,3,3,13,0,0,69.23
369,Sachin Baby,Left-hand bat,137,33,0,0,10,13.7,106,5,11,129.25
370,PV Tambe,Right-hand bat,18,7,0,0,6,3,39,0,1,46.15
371,NM Coulter-Nile,Right-hand bat,52,9,0,0,11,4.73,53,4,3,98.11
372,CJ Anderson,Left-hand bat,521,95,0,3,26,20.04,414,30,40,125.85
373,NJ Maddinson,Left-hand bat,20,12,0,0,3,6.67,21,0,4,95.24
374,AR Patel,Left-hand bat,606,44,0,0,42,14.43,494,28,34,122.67
375,JJ Bumrah,Right-hand bat,25,16,0,0,6,4.17,27,1,1,92.59
376,JDS Neesham,Left-hand bat,42,22,0,0,3,14,46,1,3,91.3
377,TG Southee,Right-hand bat,54,25,0,0,8,6.75,36,3,3,150
378,MA Starc,Left-hand bat,96,29,0,0,11,8.73,98,0,10,97.96
379,BR Dunk,Left-hand bat,40,20,0,0,3,13.33,36,0,7,111.11
380,RR Rossouw,Left-hand bat,53,24,0,0,5,10.6,51,3,3,103.92
381,Shivam Sharma,Right-hand bat,5,4,0,0,2,2.5,3,0,1,166.67
382,YS Chahal,Right-hand bat,15,4,0,0,8,1.88,29,0,0,51.72
383,LMP Simmons,Right-hand bat,1079,100,1,11,29,37.21,878,44,109,122.89
384,VH Zol,Left-hand bat,29,16,0,0,2,14.5,26,1,3,111.54
385,BCJ Cutting,Right-hand bat,124,39,0,0,8,15.5,70,10,9,177.14
386,Imran Tahir,Right-hand bat,18,5,0,0,6,3,25,0,3,72
387,BE Hendricks,Left-hand bat,1,1,0,0,2,0.5,3,0,0,33.33
388,S Gopal,Right-hand bat,14,11,0,0,3,4.67,27,0,1,51.85
389,M de Lange,Right-hand bat,1,1,0,0,1,1,2,0,0,50
390,R Tewatia,Left-hand bat,35,16,0,0,3,11.67,24,1,4,145.83
391,JO Holder,Right-hand bat,38,16,0,0,5,7.6,32,2,4,118.75
392,Karanveer Singh,Right-hand bat,12,5,0,0,4,3,17,0,1,70.59
393,SS Iyer,Right-hand bat,807,96,0,6,32,25.22,655,32,79,123.21
394,DJ Hooda,Right-hand bat,373,54,0,1,30,12.43,277,20,20,134.66
395,Anureet Singh,Right-hand bat,33,15,0,0,7,4.71,43,1,2,76.74
396,KS Williamson,Right-hand bat,411,89,0,3,15,27.4,325,11,35,126.46
397,SA Abbott,Right-hand bat,15,14,0,0,2,7.5,13,1,1,115.38
398,J Suchith,Left-hand bat,48,34,0,0,5,9.6,33,2,4,145.45
399,RG More,Right-hand bat,2,2,0,0,1,2,2,0,0,100
400,HH Pandya,Right-hand bat,406,61,0,1,33,12.3,306,28,24,132.68
401,D Wiese,Right-hand bat,127,47,0,0,8,15.88,94,4,12,135.11
402,SN Khan,Right-hand bat,177,45,0,0,11,16.09,103,6,19,171.84
403,MJ McClenaghan,Left-hand bat,63,20,0,0,12,5.25,45,6,2,140
404,DJ Muthuswami,Right-hand bat,1,1,0,0,1,1,3,0,0,33.33
405,PJ Cummins,Right-hand bat,77,24,0,0,9,8.56,56,4,5,137.5
406,SN Thakur,Right-hand bat,7,7,0,0,4,1.75,9,0,1,77.78
407,JC Buttler,Right-hand bat,528,77,0,1,24,22,374,26,50,141.18
408,CR Brathwaite,Right-hand bat,95,34,0,0,8,11.88,56,8,8,169.64
409,MP Stoinis,Right-hand bat,163,52,0,1,8,20.38,136,4,14,119.85
410,Ishan Kishan,Left-hand bat,319,61,0,1,15,21.27,255,13,34,125.1
411,C Munro,Left-hand bat,30,16,0,0,3,10,31,0,3,96.77
412,P Sahu,Right-hand bat,19,18,0,0,2,9.5,13,1,1,146.15
