bowler,player_name,runs,wicket_taken,total_balls,total_six,total_four,matches,economy
463,T Shamsi,147,3,96,7,13,96,9.18
464,SM Boland,53,2,43,1,6,43,7.38
465,DL Chahar,110,1,77,2,17,77,8.58
470,A Choudhary,137,5,108,6,13,108,7.62
471,AJ Tye,139,12,128,4,11,128,6.54
472,Ankit Soni,141,2,112,7,8,112,7.56
474,Avesh Khan,23,1,24,1,2,24,5.76
475,B Stanlake,68,2,50,3,6,50,8.16
476,BA Stokes,305,12,274,11,30,274,6.66
477,Basil Thampi,414,11,278,17,40,278,8.94
478,C de Grandhomme,129,4,102,5,11,102,7.56
479,CR Woakes,372,17,278,14,38,278,8.04
482,K Rabada,174,6,137,5,20,137,7.62
483,LH Ferguson,84,3,87,4,9,87,5.82
484,MJ Henry,70,1,31,5,7,31,13.56
485,Mohammad Nabi,58,2,66,2,4,66,5.28
486,Mohammed Siraj,209,10,141,9,22,141,8.88
487,NB Singh,14,1,25,0,2,25,3.36
488,RA Tripathi,12,0,6,0,2,6,12
489,Rashid Khan,352,17,328,13,24,328,6.42
490,RD Chahar,54,2,46,3,4,46,7.02
492,SS Agarwal,42,1,24,3,3,24,10.5
493,T Natarajan,109,2,82,5,9,82,7.98
494,Tejas Baroka,33,0,21,2,2,21,9.42
495,TS Mills,144,5,111,6,15,111,7.8
497,Washington Sundar,183,8,182,6,17,182,6.06
